# Training-script output capture
# Generated: 2026-05-15T16:57:06
# UUID:      c154dcbf-c1d1-469d-88fa-25e32a90af69
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3674, 52), cal_sub: (608, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:57:06,350] A new study created in memory with name: no-name-7cfa01ee-b2d4-4377-8977-f9d95f8c2d88
[I 2026-05-15 16:57:58,275] Trial 68 finished with values: [0.654099579616598, 0.3195228673920859] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-15 16:57:59,135] Trial 69 finished with values: [0.6407766601292157, 0.3757830327056358] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 4}.
[I 2026-05-15 16:57:59,790] Trial 70 finished with values: [0.6397312994075397, 0.5896783373892613] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 16:58:00,507] Trial 71 finished with values: [0.6445350885825417, 0.33621871092736805] and parameters: {'n_estimators': 346, 'learning_rate': 0.028180680291847244, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-15 16:58:01,187] Trial 72 finished with values: [0.637249349208813, 0.40373218112527465] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 16:58:01,901] Trial 73 finished with values: [0.6411570279594321, 0.5401369801484691] and parameters: {'n_estimators': 378, 'learning_rate': 0.10519936117151477, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-15 16:58:02,645] Trial 74 finished with values: [0.6549618437197984, 0.4477693435563276] and parameters: {'n_estimators': 408, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 16:58:03,236] Trial 75 finished with values: [0.6399689757027704, 0.435291140106734] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-15 16:58:03,871] Trial 76 finished with values: [0.6315555930706795, 0.38844854706849324] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-15 16:58:04,470] Trial 77 finished with values: [0.635083988683525, 0.4197435335214072] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 8}.
[I 2026-05-15 16:58:05,212] Trial 78 finished with values: [0.6492559349744564, 0.43775254448728723] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 16:58:05,691] Trial 79 finished with values: [0.6376175341103927, 0.3412923726160343] and parameters: {'n_estimators': 128, 'learning_rate': 0.05388108577817234, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 16:58:06,435] Trial 80 finished with values: [0.6323323546310073, 0.3606674754676288] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-15 16:58:07,242] Trial 81 finished with values: [0.6314339053832243, 0.49139945578082467] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 5}.
[I 2026-05-15 16:58:07,981] Trial 82 finished with values: [0.6411427864647951, 0.47434516517859115] and parameters: {'n_estimators': 487, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-15 16:58:08,726] Trial 83 finished with values: [0.6364053190744929, 0.42893422502364664] and parameters: {'n_estimators': 414, 'learning_rate': 0.01471005003927122, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 1}.
[I 2026-05-15 16:58:09,107] Trial 84 finished with values: [0.638230524241847, 0.3819755976638995] and parameters: {'n_estimators': 59, 'learning_rate': 0.1131225105716033, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 2}.
[I 2026-05-15 16:58:09,642] Trial 85 finished with values: [0.6309376723081248, 0.3887880457013294] and parameters: {'n_estimators': 215, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 16:58:10,160] Trial 86 finished with values: [0.6321015797248271, 0.37317999895856513] and parameters: {'n_estimators': 66, 'learning_rate': 0.04872420129560894, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 10}.
[I 2026-05-15 16:58:10,845] Trial 87 finished with values: [0.6427322420964258, 0.33716274479375735] and parameters: {'n_estimators': 294, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 5}.
[I 2026-05-15 16:58:11,362] Trial 88 finished with values: [0.6623580414396809, 0.27237105026226] and parameters: {'n_estimators': 179, 'learning_rate': 0.16155001304356414, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 6}.
[I 2026-05-15 16:58:11,877] Trial 89 finished with values: [0.6386465443256387, 0.39162611235443157] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
