# Training-script output capture
# Generated: 2026-05-15T17:39:00
# UUID:      7d4f0e88-8dfe-482c-b480-821ffea70552
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUPRC_slope/auprc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUPRC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:39:00,229] A new study created in memory with name: no-name-99e03145-2ebf-450a-a772-6158b88b1b5d
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:33,812] Trial 41 finished with values: [0.3349126892164631, 0.42420035797546046] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-15 17:39:34,556] Trial 42 finished with values: [0.3434985384901509, 0.5159035662966722] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-15 17:39:35,173] Trial 43 finished with values: [0.34519900106106594, 0.5419501652786013] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 17:39:35,864] Trial 44 finished with values: [0.31702512655090787, 0.5238257369026027] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 17:39:36,393] Trial 45 finished with values: [0.299247808949754, 0.5953447520211436] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 17:39:37,110] Trial 46 finished with values: [0.2479580870122582, 0.5641757062066332] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 17:39:37,888] Trial 47 finished with values: [0.28884993049610347, 0.4871509743473153] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-15 17:39:38,613] Trial 48 finished with values: [0.267871158793933, 0.8198094731900143] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:39:39,471] Trial 49 finished with values: [0.34681725679577835, 0.573409065333013] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 17:39:40,009] Trial 50 finished with values: [0.23426031507302744, 0.5483920642467348] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 3}.
[I 2026-05-15 17:39:40,425] Trial 51 finished with values: [0.35521045859707445, 0.45024805294445597] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 4}.
[I 2026-05-15 17:39:41,263] Trial 52 finished with values: [0.27940495441810226, 0.6909693260221588] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:41,714] Trial 53 finished with values: [0.35311122088313907, 0.44968564738921585] and parameters: {'n_estimators': 64, 'learning_rate': 0.029385442161128397, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 10}.
[I 2026-05-15 17:39:42,370] Trial 54 finished with values: [0.35897284747034985, 0.5149991702453426] and parameters: {'n_estimators': 238, 'learning_rate': 0.017797595772834223, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 10}.
[I 2026-05-15 17:39:43,037] Trial 55 finished with values: [0.26901900352940816, 0.5475705283329171] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:43,531] Trial 56 finished with values: [0.3156387345019245, 0.44010897881545813] and parameters: {'n_estimators': 54, 'learning_rate': 0.013313275850595153, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 2}.
[I 2026-05-15 17:39:44,294] Trial 57 finished with values: [0.3064722655232731, 0.6094651315993012] and parameters: {'n_estimators': 325, 'learning_rate': 0.06951034928701941, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-15 17:39:44,941] Trial 58 finished with values: [0.30267345332155576, 0.7430751123561841] and parameters: {'n_estimators': 203, 'learning_rate': 0.11812030596598909, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:45,527] Trial 59 finished with values: [0.33754660183626817, 0.45370963383667656] and parameters: {'n_estimators': 66, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 17:39:46,118] Trial 60 finished with values: [0.3128750898977805, 0.522122242930324] and parameters: {'n_estimators': 297, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 3}.
[I 2026-05-15 17:39:46,716] Trial 61 finished with values: [0.3401589034815307, 0.6123507908976003] and parameters: {'n_estimators': 120, 'learning_rate': 0.08330803890301997, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:39:47,474] Trial 62 finished with values: [0.3585386663765444, 0.42532848621874997] and parameters: {'n_estimators': 439, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-15 17:39:47,891] Trial 63 finished with values: [0.3259162818512655, 0.4864106841498061] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:39:48,759] Trial 64 finished with values: [0.3084361510130541, 0.6276293411374451] and parameters: {'n_estimators': 468, 'learning_rate': 0.16155001304356414, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 9}.
[I 2026-05-15 17:39:49,525] Trial 65 finished with values: [0.3195106693710303, 0.4501010142207306] and parameters: {'n_estimators': 443, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 17:39:50,113] Trial 66 finished with values: [0.30337482747037414, 0.522751368297013] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 17:39:50,883] Trial 67 finished with values: [0.3614238704690463, 0.510325786393088] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-15 17:39:51,604] Trial 68 finished with values: [0.29077182784404093, 0.527979538776971] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-15 17:39:52,395] Trial 69 finished with values: [0.32044934361222766, 0.49840460341171067] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 4}.
[I 2026-05-15 17:39:52,955] Trial 70 finished with values: [0.287946420394728, 0.500092797968077] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 17:39:53,656] Trial 71 finished with values: [0.3358224155481323, 0.4204126725576175] and parameters: {'n_estimators': 346, 'learning_rate': 0.028180680291847244, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-15 17:39:54,384] Trial 72 finished with values: [0.28117711708528914, 0.3697728156811292] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 17:39:55,174] Trial 73 finished with values: [0.2837200073514005, 0.47197326088314046] and parameters: {'n_estimators': 378, 'learning_rate': 0.02516607127550297, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-15 17:39:56,018] Trial 74 finished with values: [0.3463974969865763, 0.6002806098948812] and parameters: {'n_estimators': 408, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 17:39:56,734] Trial 75 finished with values: [0.24324371220095417, 0.3735086792715399] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-15 17:39:57,458] Trial 76 finished with values: [0.36107794299499607, 0.5297004451287579] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-15 17:39:58,033] Trial 77 finished with values: [0.3359846989455451, 0.5202902385210371] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 8}.
[I 2026-05-15 17:39:58,695] Trial 78 finished with values: [0.335286618570645, 0.547482029407335] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:39:59,493] Trial 79 finished with values: [0.31092280211546164, 0.5250113565349352] and parameters: {'n_estimators': 348, 'learning_rate': 0.05388108577817234, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 17:40:00,280] Trial 80 finished with values: [0.3410525516429816, 0.4825187301260011] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-15 17:40:01,075] Trial 81 finished with values: [0.2857893613251816, 0.5653009683318994] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 5}.
[I 2026-05-15 17:40:01,724] Trial 82 finished with values: [0.3325612288092198, 0.5416780363823156] and parameters: {'n_estimators': 156, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-15 17:40:02,599] Trial 83 finished with values: [0.2514082931959813, 0.4919812932919367] and parameters: {'n_estimators': 414, 'learning_rate': 0.01471005003927122, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 1}.
[I 2026-05-15 17:40:03,267] Trial 84 finished with values: [0.3387517636628635, 0.6310946224842511] and parameters: {'n_estimators': 207, 'learning_rate': 0.1131225105716033, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:40:04,113] Trial 85 finished with values: [0.2734976641418084, 0.44143800290974555] and parameters: {'n_estimators': 414, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 17:40:04,567] Trial 86 finished with values: [0.34746191534787185, 0.5028398578601582] and parameters: {'n_estimators': 66, 'learning_rate': 0.04872420129560894, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 10}.
[I 2026-05-15 17:40:05,283] Trial 87 finished with values: [0.331326584125477, 0.4564846978838453] and parameters: {'n_estimators': 294, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 5}.
[I 2026-05-15 17:40:05,925] Trial 88 finished with values: [0.33152384164067683, 0.5721299851701639] and parameters: {'n_estimators': 179, 'learning_rate': 0.16155001304356414, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 6}.
