# Training-script output capture
# Generated: 2026-05-15T17:26:47
# UUID:      490ba63b-7107-48c0-b930-43dfe5a26feb
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:26:47,082] A new study created in memory with name: no-name-7aa7a9ba-56d6-4069-b08a-3c505e252fbc
[I 2026-05-15 17:27:27,992] Trial 48 finished with values: [0.7403603747231798, 0.8984348679206547] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:27:28,853] Trial 49 finished with values: [0.7255695043242743, 0.9209147229018196] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 17:27:29,371] Trial 50 finished with values: [0.7547465865832919, 0.7745300901162074] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 3}.
[I 2026-05-15 17:27:29,916] Trial 51 finished with values: [0.7366167150971673, 0.692921781807347] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 4}.
[I 2026-05-15 17:27:30,760] Trial 52 finished with values: [0.7469009928229454, 0.7386795668858255] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 17:27:31,461] Trial 53 finished with values: [0.7214837913729122, 0.832825897340953] and parameters: {'n_estimators': 272, 'learning_rate': 0.029385442161128397, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 2}.
[I 2026-05-15 17:27:32,263] Trial 54 finished with values: [0.7053390535810076, 0.7937922529178942] and parameters: {'n_estimators': 346, 'learning_rate': 0.017797595772834223, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 3}.
[I 2026-05-15 17:27:32,997] Trial 55 finished with values: [0.7628548021808875, 0.8018992764547948] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-15 17:27:33,595] Trial 56 finished with values: [0.7056920168576875, 0.7132225060665797] and parameters: {'n_estimators': 91, 'learning_rate': 0.05838706626832953, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 4}.
[I 2026-05-15 17:27:34,213] Trial 57 finished with values: [0.7418200430458333, 1.0686858641364918] and parameters: {'n_estimators': 218, 'learning_rate': 0.06951034928701941, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:27:34,872] Trial 58 finished with values: [0.7165270019152588, 0.6121152255260546] and parameters: {'n_estimators': 66, 'learning_rate': 0.017303875834205888, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-15 17:27:35,665] Trial 59 finished with values: [0.7214910830520307, 0.7239654849118684] and parameters: {'n_estimators': 459, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-15 17:27:36,335] Trial 60 finished with values: [0.7318779143203147, 0.862822704237219] and parameters: {'n_estimators': 346, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 1}.
[I 2026-05-15 17:27:36,944] Trial 61 finished with values: [0.6860098273653966, 0.9846590871266269] and parameters: {'n_estimators': 120, 'learning_rate': 0.25648866468880704, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:27:37,778] Trial 62 finished with values: [0.7600282982292126, 0.9210258811551956] and parameters: {'n_estimators': 347, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-15 17:27:38,324] Trial 63 finished with values: [0.7754669903953509, 0.688587324286587] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:27:39,180] Trial 64 finished with values: [0.7507642880169699, 0.6490589381900799] and parameters: {'n_estimators': 474, 'learning_rate': 0.16155001304356414, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 1}.
[I 2026-05-15 17:27:40,013] Trial 65 finished with values: [0.7642081756782239, 0.7359958758958169] and parameters: {'n_estimators': 487, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 17:27:40,603] Trial 66 finished with values: [0.7524609683431412, 0.7422251438029075] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 17:27:41,356] Trial 67 finished with values: [0.7223808372467383, 0.7643205037128229] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 1}.
[I 2026-05-15 17:27:42,088] Trial 68 finished with values: [0.7526605445843692, 0.8129244457378707] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-15 17:27:42,803] Trial 69 finished with values: [0.7014115484759519, 0.744420778145621] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
[I 2026-05-15 17:27:43,369] Trial 70 finished with values: [0.7628912744759818, 0.6747520216270948] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 17:27:43,982] Trial 71 finished with values: [0.7424912363635454, 0.7569802263585342] and parameters: {'n_estimators': 272, 'learning_rate': 0.028180680291847244, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
