# Training-script output capture
# Generated: 2026-05-15T16:45:09
# UUID:      945e4976-89f4-4d39-882c-bd3f43730678
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (2997, 52), cal_sub: (164, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:45:09,848] A new study created in memory with name: no-name-91f479a9-654a-4916-9b87-ac480c74d5f4
[I 2026-05-15 16:45:50,628] Trial 52 finished with values: [0.604074074074074, 2.3254337783284122] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:45:51,292] Trial 53 finished with values: [0.5552292768959435, 4.523351161603077] and parameters: {'n_estimators': 272, 'learning_rate': 0.029385442161128397, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 2}.
[I 2026-05-15 16:45:51,835] Trial 54 finished with values: [0.4624867724867725, 2.844171592559635] and parameters: {'n_estimators': 238, 'learning_rate': 0.017797595772834223, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 10}.
[I 2026-05-15 16:45:52,510] Trial 55 finished with values: [0.5362962962962963, 0.726027357800165] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-15 16:45:53,046] Trial 56 finished with values: [0.5360582010582011, 5.173205089469651] and parameters: {'n_estimators': 91, 'learning_rate': 0.05838706626832953, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 4}.
[I 2026-05-15 16:45:53,739] Trial 57 finished with values: [0.554620811287478, 7.509499167423826] and parameters: {'n_estimators': 325, 'learning_rate': 0.06951034928701941, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-15 16:45:54,346] Trial 58 finished with values: [0.5106525573192239, 12.997536532402766] and parameters: {'n_estimators': 203, 'learning_rate': 0.11812030596598909, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-15 16:45:55,062] Trial 59 finished with values: [0.4965784832451499, 3.174744518817721] and parameters: {'n_estimators': 487, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 16:45:55,877] Trial 60 finished with values: [0.5089594356261024, 1.7399939219767773] and parameters: {'n_estimators': 346, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 1}.
[I 2026-05-15 16:45:56,340] Trial 61 finished with values: [0.5595061728395062, 10.464356483201449] and parameters: {'n_estimators': 120, 'learning_rate': 0.25648866468880704, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 16:45:57,108] Trial 62 finished with values: [0.42777777777777776, 5.2429479199625195] and parameters: {'n_estimators': 347, 'learning_rate': 0.10704755834674413, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 8}.
[I 2026-05-15 16:45:57,654] Trial 63 finished with values: [0.48156966490299824, 5.1161602336502545] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 16:45:58,516] Trial 64 finished with values: [0.4398236331569665, 6.634260724643667] and parameters: {'n_estimators': 474, 'learning_rate': 0.16155001304356414, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 1}.
[I 2026-05-15 16:45:59,313] Trial 65 finished with values: [0.5721693121693121, 2.9216282758628855] and parameters: {'n_estimators': 487, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 16:45:59,804] Trial 66 finished with values: [0.45292768959435625, 9.752925432545409] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 16:46:00,635] Trial 67 finished with values: [0.6108641975308642, 1.0935904516369925] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 16:46:01,431] Trial 68 finished with values: [0.5540740740740742, 1.5064127966673937] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 5}.
[I 2026-05-15 16:46:02,210] Trial 69 finished with values: [0.4462257495590829, 2.767142828576951] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
[I 2026-05-15 16:46:02,857] Trial 70 finished with values: [0.5291005291005291, 0.7127793782165973] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 16:46:03,402] Trial 71 finished with values: [0.4945855379188712, 3.9798988884372184] and parameters: {'n_estimators': 272, 'learning_rate': 0.028180680291847244, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-15 16:46:04,062] Trial 72 finished with values: [0.5743121693121693, 10.108679802671865] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 16:46:04,668] Trial 73 finished with values: [0.49609347442680785, 5.215183216307606] and parameters: {'n_estimators': 207, 'learning_rate': 0.10519936117151477, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 8}.
[I 2026-05-15 16:46:05,327] Trial 74 finished with values: [0.5382539682539682, 7.69391667793698] and parameters: {'n_estimators': 218, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
