# Training-script output capture
# Generated: 2026-05-15T17:08:26
# UUID:      716c8db6-9a0e-4578-a977-90a28c4d0948
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3432, 52), cal_sub: (180, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 17:09:01,046] Trial 44 finished with values: [0.5167916346646185, 15.811317586524556] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 17:09:01,641] Trial 45 finished with values: [0.5044050382860867, 1.5764443651679283] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 17:09:02,433] Trial 46 finished with values: [0.510506534236373, 6.446440403437118] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 17:09:03,106] Trial 47 finished with values: [0.4637944828469022, 2.70362059495205] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-15 17:09:03,825] Trial 48 finished with values: [0.5692592107713075, 0.9350603926913482] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:09:04,574] Trial 49 finished with values: [0.4378359633198342, 3.3993100242728245] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 17:09:05,325] Trial 50 finished with values: [0.46706250290927703, 2.459068673745555] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 17:09:05,935] Trial 51 finished with values: [0.4250003782060233, 3.241613591436283] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 4}.
[I 2026-05-15 17:09:06,716] Trial 52 finished with values: [0.5335253019829632, 2.0371425175488738] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 17:09:07,205] Trial 53 finished with values: [0.3769973060094028, 9.097219373156092] and parameters: {'n_estimators': 64, 'learning_rate': 0.029385442161128397, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 10}.
[I 2026-05-15 17:09:07,758] Trial 54 finished with values: [0.4376571446027091, 3.3131990842375125] and parameters: {'n_estimators': 346, 'learning_rate': 0.017797595772834223, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 3}.
