leaf_path,addition,autogluon_runtime_s,span_s,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,4841,2026-05-15T17:50:26,2026-05-15T19:11:07,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP020,0,,4847,2026-05-15T17:50:28,2026-05-15T19:11:15,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP050,0,,4512,2026-05-15T17:56:11,2026-05-15T19:11:23,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP100,0,,4518,2026-05-15T17:56:13,2026-05-15T19:11:31,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP200,0,,4522,2026-05-15T17:56:16,2026-05-15T19:11:38,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/single_AUROC/HP500,0,,4527,2026-05-15T17:56:19,2026-05-15T19:11:46,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/NonHP,0,,860147,2026-05-13T00:08:12,2026-05-22T23:03:59,3,8,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUPRC_slope/auprc_max,0,,6030,2026-05-15T17:56:23,2026-05-15T19:36:53,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUPRC_slope/knee,0,,5730,2026-05-15T18:01:24,2026-05-15T19:36:54,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUPRC_slope/slope_closest,0,,5728,2026-05-15T18:01:26,2026-05-15T19:36:54,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,5733,2026-05-15T18:01:28,2026-05-15T19:37:01,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,,5416,2026-05-15T18:07:02,2026-05-15T19:37:18,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,5422,2026-05-15T18:07:04,2026-05-15T19:37:26,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP020,0,,1044263,2026-05-15T18:07:07,2026-05-27T20:11:30,1,5,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP050,0,,623884,2026-05-15T18:12:52,2026-05-22T23:30:56,1,2,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP100,0,,5078,2026-05-15T18:12:54,2026-05-15T19:37:32,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP200,0,,5077,2026-05-15T18:12:57,2026-05-15T19:37:34,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP500,0,,5075,2026-05-15T18:12:59,2026-05-15T19:37:34,1,1,False,
